id;no_cia;dni;nombre;contacto;email;path_imagen;telefono
1;25006;lest tennis;grubby rebound;privilege hydrant;"935@6jy1q5.ejx";per squid;however
2;25144;energetically hastily garrote;powerful past huzzah;turret gently;"coz@6e0mu.amfk";well-off jovially ocelot;duh
3;7297;in ah oh;pleasure under exotic;openly majestic;"r@kv3.ajdx";woot lest;briskly stitcher
4;8125;amid lest CD;antique apud generally;bah keel;"f54g3@42w.z.gzvr";illiterate collaborate;ick obligation incidentally
5;18884;lovely from;oh mosh repeatedly;around ugh;"ky+a@j70.ztyw";revere pearl until;or though unripe
6;9993;pfft;rejigger violently psst;truly as mockingly;"2x@hx.ves";duh;deliquesce
7;19134;quirkily trustworthy;till before nocturnal;object;"85@s9ts6r.hpaj";hm once;sailor anenst aw
8;22998;hmph king;since;husband whoever fibre;"o8@13.miix";for;boohoo though
9;15128;between puff;tenant;inquisitively;"evzs%%@h.blar";adaptation longingly via;next
10;9788;finally woot;blah pish or;solemnly;"2boqz@.a.wlmk";that gadzooks;pneumonia inexperienced accidentally
