id;no_cia;serie;no_fisico;fecha;subtotal;impuesto;impuesto_cero;descuento;total;porcentaje_impuesto;cedula;direccion;email;estado
1;17356;aha;and scare whereas;2026-02-05T01:55:41;10783.7;32761.86;6384.58;30267.08;7700.14;3236.52;around;conceal glimmer ick;Rosa46@gmail.com;sardonic
2;32512;boyfriend;supposing dish apropos;2026-02-05T01:58:16;7040.56;21546.75;2005.58;17145.79;16825.94;2333.99;apropos poorly;mid for;Jose_DiazSantacruz@gmail.com;if hm
3;31842;ready;square cluttered bah;2026-02-05T16:55:00;32399.49;19560.68;13229.86;30494.28;25527.73;9181.16;settle;wordy following overheard;Rafael.ZaragozaRazo73@hotmail.com;forager tough
4;29318;tired via;traffic;2026-02-05T05:25:19;24746.28;26891.59;13021.2;21262.77;28000.66;10423.03;boohoo;volleyball unless yowza;Diana.MontezArroyo@gmail.com;helpfully and
5;13246;sheepishly amongst;apologise;2026-02-05T19:49:59;8920.82;22811.03;644.42;6333.22;4589.83;22615.11;until;expense;Luisa57@gmail.com;for amid ascribe
6;5615;equatorial unimportant;defiantly pfft till;2026-02-05T00:40:59;10967.97;23922.69;28234.11;19685.39;19795.71;29356.45;noisily;assist bind;Santiago47@gmail.com;typeface ick procrastinate
7;31933;gasp;about appliance;2026-02-05T08:03:18;18218.52;20714.41;32546.66;31012.58;30979.82;7600.68;bah secret blah;how;Esperanza.BrisenoRangel@gmail.com;knavishly
8;13635;as even veg;e-mail amid adventurously;2026-02-05T04:39:27;5274.23;26589.26;5508.7;14906.24;26004.15;22434.29;jealously;pish;Arturo0@yahoo.com;exhaust outsource kookily
9;26847;whoa;fatally;2026-02-05T14:51:18;15626.24;28733.55;20617.96;5810.12;3660.97;20010.31;oh times;even if whopping;Arturo93@hotmail.com;furthermore fraternise painfully
10;32277;exotic;onset wildly;2026-02-05T12:37:52;20922.49;539;5828.27;510.02;15677.26;2811.12;irritably;preclude even;Lucia_SernaMunguia79@hotmail.com;any whose
