id;no_cia;dni;nombre;contacto;email;path_imagen;telefono
1;22231;woot circa;measly smoothly calculus;hm dial utterly;"rx340@5.ylij";once;excluding object skeleton
2;16835;pish outside;with guilt boldly;satisfy;"txf@vdoi.xtkl";classic availability;instantly fax gentle
3;31330;affectionate daily restfully;against promptly twine;task merrily utterly;"bq9@fj5-.jrew";mousse descent tricky;horn beep even
4;26659;rebound as;whoever lost;drat given;"%@x.szcl";until whose phooey;troubled which gosh
5;17923;oxidize aha;shadowbox;horde although;"2gnos@ttq.i6.rr";tensely unethically;whoever muted out
6;130;aha eek yet;concerning;supplier frivolous;"ymvb+a@oaxwr.lm";dash now;but boo mammoth
7;26247;what minor;scrutinise technologist seriously;depart concerning portray;"0t@k4nb.njh";accidentally;pack circumnavigate
8;6624;before sizzling um;how;unless incidentally annual;"+8@bl.ipa";inasmuch proceed;underneath advancement
9;12653;knowingly ouch clonk;gosh crest;deeply;"inzya@e.ii";settler;redress in
10;20944;gloat;challenge log;travel underneath;"7iwa6@bbrtvb.pu";rectangular unblinking condense;hence what adrenalin
